IncidentID,OrderID,CustomerID,IncidentDate,IncidentType,Priority,Status,ResolutionDate,Channel
48,ES-2014-1343492,MP-179652,2014-11-08,Wrong item,Medium,Closed,2014-11-10,Email
49,NI-2014-3100,HD-47851,2014-08-30,Wrong item,Low,Resolved,2014-09-12,Email
50,CA-2014-104024,MD-178604,2014-09-01,Delayed shipment,Medium,Closed,2014-09-03,Chat
51,ES-2013-3946680,AC-104502,2013-03-13,Customer complaint,Low,Open,,Chat
52,MX-2012-134712,MS-173653,2012-06-29,Return request,Low,Resolved,2012-07-18,Email
53,UP-2011-5210,RD-99302,2011-11-09,Customer complaint,Low,Resolved,2011-11-11,Web
54,ES-2013-5195590,LR-170352,2013-12-10,Return request,Medium,Resolved,2013-12-13,Email
55,ID-2011-29389,AG-109001,2011-10-07,Billing issue,High,Resolved,2011-10-13,Web
56,TU-2013-3840,DR-29402,2013-12-20,Customer complaint,Medium,Resolved,2013-12-23,Web
57,US-2013-140774,SW-202753,2013-06-23,Delayed shipment,Medium,Open,,Chat
58,CA-2012-141145,DB-134054,2012-10-01,Delayed shipment,Medium,In Progress,,Phone
59,MX-2012-162222,TS-212053,2012-08-05,Delayed shipment,Low,Resolved,2012-08-15,Web
60,IR-2014-7570,SE-101102,2014-10-24,Damaged product,Medium,Resolved,2014-10-30,Email
61,CA-2011-134621,DP-133904,2011-12-27,Damaged product,Critical,Closed,2012-01-12,Chat
62,IT-2011-1471798,CJ-120102,2011-08-28,Delayed shipment,Low,Resolved,2011-09-14,Email
63,IN-2013-22095,JG-151151,2013-12-24,Return request,High,Closed,2014-01-12,Phone
64,US-2011-154767,EB-137503,2011-10-02,Damaged product,Medium,Resolved,2011-10-05,Web
65,MX-2011-102344,NB-185803,2012-01-05,Delayed shipment,Medium,In Progress,,Web
66,ES-2011-3121115,RE-194502,2011-12-01,Wrong item,Medium,Open,,Email
67,IR-2014-7530,CA-20552,2014-04-26,Delayed shipment,Medium,Resolved,2014-05-14,Chat
68,MX-2014-143700,TC-209803,2014-08-19,Return request,High,Resolved,2014-08-26,Email
69,CA-2012-141740,JF-154904,2012-11-06,Delayed shipment,High,Open,,Phone
70,ES-2013-3098610,DK-129852,2013-03-16,Customer complaint,Medium,Resolved,2013-03-25,Email
71,IT-2013-3210394,EH-137652,2014-01-03,Return request,Low,Closed,2014-01-15,Email
72,IN-2014-22536,JM-156551,2014-06-02,Delayed shipment,Medium,Resolved,2014-06-07,Phone
73,ES-2011-2075610,LM-170652,2011-08-27,Delayed shipment,High,Resolved,2011-08-30,Phone
74,MO-2011-3300,NC-83401,2011-02-01,Return request,Low,Resolved,2011-02-12,Email
75,CA-2013-116764,EM-138254,2013-09-02,Return request,Medium,In Progress,,Email
76,ID-2014-42717,CL-127001,2015-01-05,Return request,Medium,Resolved,2015-01-09,Phone
77,TZ-2013-8210,MG-76951,2013-01-27,Return request,Medium,Resolved,2013-02-01,Web
78,CA-2013-144218,JD-158954,2013-11-07,Delayed shipment,Low,Open,,Chat
79,KE-2011-860,MH-77851,2011-09-02,Damaged product,Medium,Resolved,2011-09-03,Email
80,TU-2012-6640,RB-94352,2012-12-08,Delayed shipment,High,Resolved,2012-12-26,Email
81,IN-2014-25637,DE-132551,2014-09-30,Return request,Low,Closed,2014-10-12,Email
82,CM-2012-5000,MR-75451,2012-06-05,Billing issue,Low,Closed,2012-06-18,Email
83,AG-2011-2040,TB-112801,2011-01-05,Damaged product,Critical,In Progress,,Web
84,CA-2012-127824,JC-157754,2012-10-20,Delayed shipment,Low,Resolved,2012-10-29,Phone
85,SA-2014-4990,RB-93302,2014-06-06,Damaged product,High,Resolved,2014-06-08,Email
86,MX-2012-153941,LT-167653,2012-11-17,Damaged product,Medium,Closed,2012-11-22,Email
87,IN-2014-29403,HM-149801,2014-10-29,Return request,Low,In Progress,,Email
88,ID-2014-67581,JP-155201,2014-08-14,Billing issue,High,Resolved,2014-08-27,Web
89,MX-2011-105494,PA-190603,2011-06-13,Return request,Medium,Resolved,2011-06-29,Chat
90,CA-2012-100573,AM-107054,2012-09-27,Wrong item,Medium,In Progress,,Email
91,AG-2013-6090,RD-95851,2013-03-18,Delayed shipment,Medium,Open,,Email
92,IN-2014-23236,EH-140051,2014-10-08,Return request,Medium,Resolved,2014-10-24,Chat
93,ES-2012-3424900,NS-185052,2012-09-16,Return request,Low,Resolved,2012-09-19,Chat
94,MX-2012-164007,MW-182203,2013-01-03,Billing issue,Medium,In Progress,,Phone
95,MX-2012-117870,TB-211753,2012-10-16,Return request,Critical,Resolved,2012-10-20,Email
96,MX-2012-144337,KT-164653,2012-10-07,Wrong item,Low,Resolved,2012-10-18,Email
97,ID-2013-62177,JW-160751,2013-10-19,Wrong item,Medium,Resolved,2013-11-02,Phone
98,IN-2012-52314,TB-210551,2012-10-29,Damaged product,Low,In Progress,,Email
99,MX-2013-114951,MW-182353,2013-08-25,Delayed shipment,High,Closed,2013-08-28,Email
100,MO-2012-3020,SC-103801,2012-09-18,Delayed shipment,Low,In Progress,,Phone
101,IN-2013-56283,BT-113951,2013-03-07,Delayed shipment,Critical,Resolved,2013-03-23,Email
102,CA-2012-490,JL-52351,2012-11-27,Billing issue,Medium,Open,,Web
103,IT-2011-3659171,YC-218952,2011-02-11,Damaged product,Low,Open,,Email
104,US-2013-131205,BB-109903,2013-02-13,Wrong item,Low,Resolved,2013-02-28,Email
105,NI-2012-380,JB-60001,2012-12-27,Customer complaint,Low,In Progress,,Phone
106,CA-2012-131779,LE-168104,2012-06-16,Delayed shipment,Medium,Closed,2012-06-26,Email
107,ES-2014-2523142,CA-119652,2014-11-30,Damaged product,Low,Open,,Chat
108,IT-2011-5334146,KH-165102,2011-07-08,Return request,High,Resolved,2011-07-17,Phone
109,CA-2014-144064,CP-120854,2014-09-12,Delayed shipment,Medium,In Progress,,Email
110,MX-2014-158946,DV-130453,2014-09-03,Delayed shipment,Low,Open,,Web
111,IT-2013-5604677,CP-123402,2013-11-17,Delayed shipment,Medium,Open,,Email
112,US-2012-123218,KD-163454,2012-12-30,Delayed shipment,Medium,Resolved,2013-01-10,Chat
113,IN-2014-16817,HJ-148751,2014-12-07,Customer complaint,Low,Resolved,2014-12-23,Email
114,US-2014-152744,NC-185353,2014-01-28,Return request,Low,Resolved,2014-02-07,Phone
115,ES-2013-2309313,KF-162852,2013-09-14,Billing issue,Low,Resolved,2013-10-01,Email
116,IN-2014-36683,SK-199901,2014-08-17,Return request,Medium,Resolved,2014-09-05,Phone
117,IN-2013-75988,SC-202601,2013-10-25,Return request,Medium,Open,,Web
118,CA-2013-146010,EH-141254,2013-05-22,Delayed shipment,Medium,Resolved,2013-05-24,Web
119,IN-2013-63542,MH-172901,2013-07-08,Return request,High,Closed,2013-07-10,Email
120,IR-2014-9640,CR-25802,2014-04-04,Wrong item,High,Resolved,2014-04-10,Email
121,CA-2012-119592,MM-182804,2012-12-15,Return request,Medium,Resolved,2013-01-03,Web
122,IN-2011-59328,BE-113351,2011-04-24,Return request,High,In Progress,,Chat
123,ES-2012-3229508,RA-198852,2012-07-09,Damaged product,Low,Resolved,2012-07-17,Email
124,IN-2012-75099,AF-108701,2012-10-03,Delayed shipment,Low,Resolved,2012-10-06,Phone
125,CA-2012-1690,RA-98852,2012-02-13,Delayed shipment,Low,Resolved,2012-02-27,Email
126,MX-2014-127348,JD-161503,2014-06-30,Damaged product,Low,Closed,2014-07-16,Chat
127,CA-2012-142433,ES-140204,2012-04-30,Return request,Medium,Open,,Email
128,US-2011-119081,TA-213854,2011-09-18,Return request,High,Open,,Email
129,ID-2013-61155,SC-203801,2013-05-16,Delayed shipment,Low,Resolved,2013-05-17,Web
130,NI-2012-730,HG-50251,2012-03-22,Wrong item,Low,Closed,2012-03-25,Email
131,ID-2014-38881,SG-204701,2014-02-15,Damaged product,Medium,Open,,Phone
132,ES-2011-3634665,HL-150402,2011-05-20,Delayed shipment,High,In Progress,,Phone
133,IN-2012-13345,BN-114701,2012-07-04,Delayed shipment,Low,Open,,Email
134,IN-2014-58236,MG-176951,2014-05-28,Damaged product,Medium,In Progress,,Email
135,CA-2011-120096,KE-164204,2011-07-10,Customer complaint,Low,Resolved,2011-07-28,Phone
136,ML-2011-7140,GP-47401,2011-12-26,Damaged product,Low,Resolved,2012-01-04,Email
137,CA-2012-168459,MC-172754,2012-11-23,Wrong item,Critical,In Progress,,Phone
138,ES-2012-4400520,JK-152052,2012-09-11,Return request,Critical,Resolved,2012-09-17,Web
139,IN-2014-57011,JS-156851,2014-04-20,Damaged product,Low,Open,,Web
140,US-2013-168032,BS-113803,2013-11-08,Customer complaint,Critical,In Progress,,Email
141,IN-2014-86810,MG-178901,2014-06-10,Customer complaint,Medium,Resolved,2014-06-11,Email
142,ES-2014-2742229,GH-144252,2014-06-20,Delayed shipment,High,Closed,2014-06-30,Email
143,IR-2014-7020,PL-89252,2014-11-14,Wrong item,Medium,Closed,2014-11-20,Email
144,IN-2011-12288,JS-158801,2011-05-31,Damaged product,Medium,Open,,Phone
145,IT-2011-2889545,GD-145902,2011-03-03,Delayed shipment,Medium,Closed,2011-03-15,Web
146,ES-2014-3088059,NF-184752,2014-01-14,Delayed shipment,Medium,Resolved,2014-01-18,Email
147,CA-2013-113516,VM-216854,2013-09-16,Billing issue,Low,Resolved,2013-09-29,Email
148,US-2014-107524,RK-193003,2014-10-21,Wrong item,Low,Resolved,2014-11-07,Email
149,IT-2014-2122369,JK-157302,2014-06-03,Delayed shipment,Low,Resolved,2014-06-11,Web
150,IT-2011-2289083,TS-214302,2011-06-27,Delayed shipment,Medium,In Progress,,Email
151,MX-2014-157518,LB-167353,2014-06-11,Customer complaint,Low,Open,,Phone
152,ES-2012-5233735,BO-113502,2012-11-03,Delayed shipment,Medium,In Progress,,Email
153,IN-2013-10699,KE-164201,2013-06-05,Delayed shipment,Critical,In Progress,,Chat
154,MX-2013-137855,BM-111403,2013-01-26,Wrong item,Low,Resolved,2013-01-29,Chat
155,IN-2014-25147,BF-110801,2014-10-21,Customer complaint,Medium,Resolved,2014-11-02,Email
156,MX-2013-115805,CS-124903,2013-06-30,Delayed shipment,Medium,Resolved,2013-07-07,Email
157,CA-2013-158925,JP-154604,2013-11-04,Billing issue,High,Open,,Phone
158,MX-2013-148390,AG-103903,2013-07-08,Return request,Low,Closed,2013-07-20,Email
159,CA-2014-142489,TC-212954,2014-11-28,Delayed shipment,Medium,Closed,2014-11-30,Web
160,IN-2012-78886,SL-201551,2012-06-11,Return request,High,Resolved,2012-06-25,Web
161,MX-2014-156027,BF-112753,2014-12-14,Damaged product,High,Closed,2014-12-19,Web
162,MX-2013-129147,CC-121453,2013-12-02,Billing issue,Medium,Resolved,2013-12-11,Web
163,TU-2013-8580,CS-22502,2013-02-14,Billing issue,Medium,Closed,2013-02-25,Email
164,IN-2014-79089,MP-174701,2014-12-03,Wrong item,Medium,Open,,Email
165,LI-2012-960,GT-46351,2012-12-14,Delayed shipment,High,Resolved,2012-12-19,Web
166,CA-2014-130841,MH-176204,2014-08-01,Return request,Medium,In Progress,,Email
167,US-2011-163797,PC-190004,2011-04-14,Damaged product,Low,In Progress,,Web
168,IN-2014-82036,FP-143201,2014-05-31,Delayed shipment,High,Open,,Email
169,NI-2011-8500,AS-6301,2011-06-26,Delayed shipment,Medium,Resolved,2011-06-29,Email
170,TO-2013-5240,LH-70201,2013-12-28,Billing issue,Medium,Resolved,2014-01-14,Chat
171,IN-2012-14010,KC-162551,2012-04-09,Billing issue,Low,Resolved,2012-04-11,Email
172,CA-2014-101749,AS-100454,2014-10-06,Delayed shipment,Medium,Open,,Chat
173,CA-2011-8190,DP-30002,2011-10-03,Wrong item,Medium,Closed,2011-10-04,Chat
174,US-2011-156902,JM-152503,2011-11-02,Delayed shipment,Medium,Resolved,2011-11-09,Web
175,MX-2014-101910,TC-209803,2014-03-05,Billing issue,Low,Resolved,2014-03-19,Web
176,CA-2011-148761,PA-190604,2011-05-29,Delayed shipment,Medium,Resolved,2011-06-03,Phone
177,MX-2014-107244,SC-200203,2014-06-24,Billing issue,Critical,In Progress,,Chat
178,ES-2012-3225401,TN-210402,2012-02-14,Damaged product,Low,In Progress,,Email
179,EZ-2014-3100,PS-90452,2014-07-07,Customer complaint,Critical,Closed,2014-07-26,Phone
180,IN-2011-77668,HM-149801,2011-08-19,Delayed shipment,Medium,In Progress,,Phone
181,IT-2011-2992208,EM-139602,2012-01-04,Damaged product,High,Resolved,2012-01-15,Phone
182,MX-2012-136385,MM-180553,2012-12-15,Delayed shipment,High,Closed,2012-12-17,Phone
183,IN-2013-83534,MG-178751,2013-11-09,Customer complaint,Medium,Resolved,2013-11-17,Email
184,GH-2014-7770,EH-40051,2014-06-24,Return request,Medium,Open,,Phone
185,ES-2012-4991722,TP-211302,2012-08-14,Delayed shipment,High,Open,,Chat
186,IR-2013-9560,BD-17252,2013-05-21,Billing issue,Medium,Open,,Email
187,CA-2011-138709,MS-177704,2011-07-11,Return request,Low,Resolved,2011-07-20,Chat
188,CA-2012-103093,FO-143054,2012-02-15,Billing issue,Medium,Resolved,2012-02-18,Web
189,IT-2013-5279277,HR-148302,2013-08-16,Wrong item,High,Open,,Web
190,CA-2014-152198,JD-160154,2014-09-15,Delayed shipment,High,Closed,2014-09-17,Phone
191,ES-2012-5343508,HW-149352,2012-08-28,Delayed shipment,High,Resolved,2012-09-04,Web
192,IN-2014-20191,DJ-135101,2014-01-05,Return request,Medium,In Progress,,Email
193,IN-2014-80888,JP-161351,2014-11-10,Customer complaint,High,Resolved,2014-11-15,Web
194,IN-2011-64627,SC-200201,2011-03-06,Billing issue,Low,Resolved,2011-03-11,Email
195,IN-2014-45734,MK-181601,2014-12-01,Damaged product,Medium,Open,,Chat
196,ID-2013-30544,CL-127001,2013-06-27,Damaged product,Low,In Progress,,Chat
197,CA-2013-162110,NP-186704,2013-08-01,Return request,Low,Closed,2013-08-14,Email
198,ES-2012-2694947,JF-155652,2012-02-04,Return request,Medium,Resolved,2012-02-10,Email
199,IN-2013-34940,JH-158201,2013-12-27,Return request,Medium,Resolved,2014-01-14,Web
200,MX-2013-168137,AB-101053,2013-11-20,Return request,Medium,Resolved,2013-11-22,Email
201,CA-2013-8550,DW-34802,2013-05-10,Billing issue,Medium,Open,,Chat
202,ZI-2014-9550,JC-57751,2014-12-22,Delayed shipment,Medium,In Progress,,Email
203,ES-2012-2932271,CD-127902,2012-10-22,Delayed shipment,Low,Resolved,2012-10-28,Email
204,NI-2012-4860,AJ-7801,2012-05-23,Return request,Medium,In Progress,,Chat
205,IN-2011-23138,KN-167051,2011-12-01,Billing issue,Low,Open,,Web
206,ID-2013-42423,CA-122651,2013-10-28,Delayed shipment,Low,Closed,2013-11-06,Web
207,IZ-2013-6530,EB-41102,2013-03-25,Delayed shipment,Medium,Closed,2013-03-28,Email
208,US-2013-135209,MH-172904,2014-01-06,Billing issue,Medium,Resolved,2014-01-07,Web
209,CA-2014-138870,GA-145154,2014-06-29,Delayed shipment,Medium,Closed,2014-06-30,Phone
210,IN-2012-13702,MG-176951,2012-10-07,Delayed shipment,Medium,In Progress,,Phone
211,RS-2014-1170,MW-82202,2014-11-22,Wrong item,Medium,Closed,2014-12-11,Web
212,ID-2012-82393,CL-127001,2012-04-24,Billing issue,High,In Progress,,Phone
213,ES-2013-2509119,JM-156552,2013-07-13,Billing issue,Medium,Closed,2013-07-18,Phone
214,ID-2014-37768,SG-208901,2014-03-24,Delayed shipment,Medium,Closed,2014-04-06,Email
215,ES-2012-2617664,SJ-205002,2012-12-03,Return request,Low,Resolved,2012-12-22,Web
216,IR-2012-7560,AH-5852,2012-11-18,Delayed shipment,Low,Closed,2012-11-30,Email
217,IN-2014-28136,GH-146651,2014-07-05,Damaged product,Medium,Resolved,2014-07-21,Web
218,US-2012-136000,BV-112453,2012-05-24,Return request,Medium,In Progress,,Email
219,NI-2013-3270,MM-80551,2013-04-11,Billing issue,Medium,Resolved,2013-04-30,Phone
220,ES-2013-5504072,EH-141252,2013-08-16,Return request,Medium,Resolved,2013-08-19,Web
221,GH-2012-2460,BT-13051,2012-09-02,Billing issue,Medium,Open,,Email
222,CA-2013-134789,CK-123254,2013-04-16,Billing issue,High,Resolved,2013-04-28,Email
223,CA-2012-270,RS-94202,2012-09-09,Delayed shipment,High,Closed,2012-09-14,Email
224,CA-2012-169397,JB-159254,2013-01-03,Damaged product,Medium,In Progress,,Phone
225,KE-2013-8680,KD-63451,2013-11-21,Delayed shipment,Critical,Resolved,2013-11-23,Web
226,CA-2013-145247,ND-183704,2013-05-16,Delayed shipment,Low,Closed,2013-05-23,Email
227,ES-2014-5943694,RD-195852,2014-12-12,Customer complaint,Low,Closed,2014-12-25,Web
228,EZ-2014-4520,LS-69453,2015-01-05,Damaged product,Low,Closed,2015-01-20,Email
229,US-2013-103051,TB-214003,2013-11-16,Return request,Medium,Resolved,2013-11-19,Phone
230,IN-2013-32063,AC-106151,2013-09-24,Billing issue,High,Closed,2013-09-29,Chat
231,MX-2014-168900,HM-148603,2014-08-17,Return request,Low,Resolved,2014-08-25,Email
232,IR-2014-8750,AR-5102,2014-09-26,Wrong item,High,In Progress,,Phone
233,CA-2014-141138,GH-144254,2014-11-12,Billing issue,Low,Resolved,2014-11-13,Email
234,NI-2014-250,JB-59251,2014-12-21,Wrong item,High,Resolved,2014-12-29,Email
235,ES-2014-1995148,RB-197952,2014-01-16,Delayed shipment,Medium,In Progress,,Email
236,CA-2012-112522,DP-131654,2012-10-17,Return request,Low,Resolved,2012-11-04,Email
237,IN-2012-47316,HP-148151,2012-12-26,Delayed shipment,Medium,Resolved,2013-01-11,Phone
238,CA-2012-117611,MZ-173354,2012-11-13,Delayed shipment,Low,In Progress,,Phone
239,MX-2011-155075,LT-167653,2011-06-29,Billing issue,Low,Resolved,2011-07-17,Phone
240,SF-2014-4320,TT-112651,2014-10-03,Delayed shipment,Low,Resolved,2014-10-15,Email
241,ES-2012-1074279,JE-157152,2012-09-28,Customer complaint,High,Resolved,2012-10-11,Email
242,MX-2011-135629,DD-135703,2011-01-16,Customer complaint,Medium,Open,,Web
243,MX-2013-161347,BP-111853,2013-06-06,Customer complaint,Low,Open,,Chat
244,CA-2013-111213,FP-143204,2013-04-07,Damaged product,Medium,Resolved,2013-04-20,Email
245,CA-2012-144386,GT-146354,2012-11-15,Delayed shipment,Medium,Closed,2012-11-25,Chat
246,SA-2014-6410,BT-14852,2014-10-02,Customer complaint,Low,In Progress,,Phone
247,IN-2013-18707,JF-151901,2013-10-02,Damaged product,Medium,Resolved,2013-10-09,Phone
248,UP-2012-8290,CT-19951,2012-11-12,Customer complaint,Low,In Progress,,Phone
249,UP-2013-9840,DV-34652,2013-08-11,Customer complaint,Low,In Progress,,Email
250,US-2011-160780,SV-207854,2011-06-29,Return request,Medium,Closed,2011-07-13,Email
251,US-2011-159611,KB-163154,2012-01-02,Delayed shipment,Low,Resolved,2012-01-18,Phone
252,IN-2014-52636,DM-133451,2014-07-08,Damaged product,Medium,Open,,Email
253,IR-2013-9810,SC-107703,2013-06-17,Return request,Medium,Resolved,2013-07-02,Chat
254,MX-2013-164448,JE-157153,2013-10-12,Damaged product,Low,Open,,Phone
255,ES-2013-1990428,RH-195552,2013-09-20,Delayed shipment,Medium,Resolved,2013-10-02,Email
256,ES-2014-1569434,AH-100302,2014-08-05,Billing issue,Low,Resolved,2014-08-14,Web
257,MX-2012-139227,VF-217153,2012-09-25,Customer complaint,Critical,Open,,Email
258,IN-2011-16229,CK-122051,2011-12-26,Billing issue,Medium,In Progress,,Phone
259,ES-2012-5455334,DJ-135102,2012-07-04,Billing issue,High,Resolved,2012-07-12,Web
260,US-2014-120390,TH-215504,2014-10-21,Delayed shipment,Medium,Closed,2014-11-08,Chat
261,ID-2014-43690,LS-169451,2014-06-08,Billing issue,Low,Closed,2014-06-26,Web
262,IT-2014-5003239,SU-206652,2014-10-06,Customer complaint,Medium,Open,,Web
263,MX-2013-114314,DL-129253,2013-08-18,Delayed shipment,Critical,Resolved,2013-08-31,Web
264,ES-2014-1000157,CS-124902,2014-06-27,Wrong item,Medium,Resolved,2014-07-15,Chat
265,MX-2013-158701,CM-122353,2013-05-27,Return request,High,Resolved,2013-06-11,Email
266,CA-2014-127474,RD-198104,2014-02-14,Return request,High,Resolved,2014-02-18,Email
267,IN-2012-70437,BD-115001,2012-10-17,Billing issue,Low,Closed,2012-11-03,Email
268,IN-2013-79978,RD-195851,2013-09-23,Return request,Low,Closed,2013-09-28,Email
269,IN-2013-76646,KM-166601,2014-01-01,Damaged product,Medium,Resolved,2014-01-17,Web
270,ID-2011-37782,BS-116651,2011-11-12,Delayed shipment,Medium,Resolved,2011-11-21,Phone
271,IT-2012-1779015,PM-189402,2012-09-30,Return request,High,Resolved,2012-10-10,Phone
272,US-2013-100566,BS-115903,2013-11-06,Return request,High,In Progress,,Email
273,MX-2013-145296,RB-197953,2013-12-19,Return request,Medium,Resolved,2014-01-06,Web
274,TU-2014-3290,CL-25652,2014-11-30,Customer complaint,Low,Resolved,2014-12-17,Email
275,CA-2013-138282,AH-106904,2013-05-25,Wrong item,High,Resolved,2013-06-12,Web
276,MX-2011-155257,JH-161803,2011-07-25,Wrong item,Low,In Progress,,Phone
277,ID-2011-28661,ME-180101,2011-02-18,Return request,High,In Progress,,Email
278,ES-2013-5424830,CS-124602,2013-08-30,Billing issue,Medium,Closed,2013-09-06,Email
279,MX-2012-160612,DM-133453,2013-01-04,Return request,Medium,Open,,Email
280,ES-2013-2523030,AB-101502,2013-08-12,Return request,Low,Resolved,2013-08-16,Web
281,NI-2011-5790,DR-29401,2011-04-23,Return request,Medium,In Progress,,Chat
282,SF-2011-3510,AS-6301,2012-01-03,Damaged product,Medium,Open,,Phone
283,IN-2014-41345,DV-130451,2014-11-19,Damaged product,Medium,Open,,Email
284,ES-2012-2836963,TM-214902,2012-09-26,Delayed shipment,Low,In Progress,,Phone
285,ES-2014-3606209,EB-141102,2014-11-20,Billing issue,Medium,Closed,2014-11-25,Web
286,CA-2013-144764,RL-196154,2013-09-08,Delayed shipment,High,In Progress,,Web
287,ES-2014-3995946,FH-142752,2014-08-21,Wrong item,Low,Closed,2014-09-06,Email
288,IN-2012-36487,NC-183401,2012-12-31,Wrong item,Low,Resolved,2013-01-03,Email
289,IN-2011-47414,JS-160301,2011-07-06,Delayed shipment,Low,Resolved,2011-07-24,Web
290,ES-2014-1154298,JK-156252,2014-02-22,Billing issue,Medium,Resolved,2014-03-08,Email
291,US-2011-123701,FA-142303,2011-06-03,Delayed shipment,Medium,Resolved,2011-06-18,Email
292,CA-2011-129574,Dp-132404,2011-06-08,Delayed shipment,Medium,Resolved,2011-06-25,Email
293,IN-2014-76205,KB-164051,2014-12-04,Return request,Low,In Progress,,Phone
294,NI-2014-2970,BW-12001,2014-07-23,Damaged product,Medium,Resolved,2014-07-24,Chat
295,US-2012-151288,AD-101803,2012-02-04,Delayed shipment,Medium,Closed,2012-02-21,Chat
296,ES-2011-2382517,MR-175452,2011-09-19,Wrong item,Medium,Closed,2011-09-30,Phone
297,GH-2014-4750,JH-61801,2014-08-02,Return request,Critical,Closed,2014-08-19,Phone
298,ES-2013-5782100,AH-100752,2013-08-18,Delayed shipment,Low,Resolved,2013-09-01,Email
