OrderID,CustomerID,LocationID,OrderDate,ShipDate,ShipMode,OrderPriority
US-2013-116729,GK-146204,1,2013-12-26,2013-12-29,First Class,Medium
CA-2014-117212,BT-115304,1,2014-02-27,2014-03-01,Second Class,Medium
CA-2014-134635,NS-186404,1,2014-04-16,2014-04-18,Second Class,Critical
CA-2014-120614,SM-209504,1,2014-05-31,2014-06-05,Standard Class,Medium
CA-2014-145772,SS-201404,1,2014-06-04,2014-06-08,Standard Class,High
CA-2014-113670,RS-197654,1,2014-10-16,2014-10-18,First Class,Critical
CA-2014-109701,AM-103604,1,2014-12-03,2014-12-04,Same Day,High
CA-2014-153227,CS-122504,1,2014-12-05,2014-12-07,First Class,High
CA-2014-161578,RB-194654,1,2014-12-17,2014-12-22,Second Class,High
CA-2011-153808,FH-142754,1,2011-04-06,2011-04-10,Second Class,High
CA-2011-110849,JL-158354,1,2011-04-18,2011-04-23,Standard Class,High
CA-2011-116785,MH-172904,1,2011-04-26,2011-04-30,Standard Class,High
US-2011-154879,SN-207104,1,2011-05-06,2011-05-11,Standard Class,Medium
CA-2011-115812,BH-117104,1,2011-06-09,2011-06-14,Standard Class,Medium
CA-2011-114643,FM-142154,1,2011-06-13,2011-06-17,Standard Class,High
CA-2011-109218,AR-108254,1,2011-06-30,2011-07-03,Second Class,Medium
CA-2011-122679,AB-102554,1,2011-07-22,2011-07-28,Standard Class,Medium
CA-2011-153619,TC-215354,1,2011-11-03,2011-11-03,Same Day,Critical
CA-2011-105270,AP-109154,1,2011-11-11,2011-11-18,Standard Class,Low
US-2011-144078,RB-194354,1,2011-11-25,2011-11-29,Standard Class,Medium
CA-2011-138737,FP-143204,1,2011-12-07,2011-12-10,First Class,Medium
CA-2011-156594,MC-178454,1,2011-12-20,2011-12-23,Second Class,High
CA-2012-151253,AZ-107504,1,2012-04-22,2012-04-26,Standard Class,High
CA-2012-115945,AB-101654,1,2012-06-25,2012-07-01,Standard Class,Medium
CA-2012-153388,PC-190004,1,2012-08-01,2012-08-07,Standard Class,Medium
CA-2012-167745,GB-145304,1,2012-09-18,2012-09-23,Standard Class,Medium
CA-2012-144652,SN-205604,1,2012-11-20,2012-11-26,Standard Class,Medium
CA-2012-115693,FC-142454,1,2012-12-10,2012-12-15,Standard Class,Medium
CA-2012-134117,PG-188954,1,2012-12-17,2012-12-19,Second Class,Critical
CA-2013-146437,HG-149654,1,2013-01-28,2013-02-01,Second Class,Medium
CA-2013-140256,PW-190304,1,2013-08-23,2013-08-30,Standard Class,Low
US-2013-100405,TS-214304,1,2013-08-27,2013-08-29,Second Class,Critical
CA-2013-126732,LR-169154,1,2013-09-03,2013-09-07,Standard Class,Medium
CA-2013-161746,CS-119504,1,2013-10-22,2013-10-28,Standard Class,Medium
US-2013-112970,TB-212504,1,2013-11-15,2013-11-16,First Class,Critical
CA-2013-107104,MS-173654,1,2013-11-27,2013-12-01,Standard Class,Medium
CA-2013-104689,FH-143654,1,2013-12-02,2013-12-06,Standard Class,High
CA-2013-129868,MC-181304,1,2013-12-27,2014-01-01,Standard Class,Medium
CA-2014-160934,TT-214604,1,2014-01-16,2014-01-20,Standard Class,High
CA-2014-134838,ED-138854,1,2014-02-20,2014-02-21,First Class,High
CA-2014-110478,SP-208604,1,2014-03-05,2014-03-10,Standard Class,Medium
CA-2014-143084,BP-110504,1,2014-03-19,2014-03-23,Standard Class,Medium
US-2014-120117,TB-214004,1,2014-03-31,2014-03-31,Same Day,High
CA-2014-168228,AP-109154,1,2014-04-28,2014-04-30,First Class,High
CA-2014-154501,EA-140354,1,2014-05-01,2014-05-06,Standard Class,Medium
US-2014-151127,RL-196154,1,2014-05-23,2014-05-26,First Class,Medium
CA-2014-143343,BW-112004,1,2014-06-11,2014-06-14,First Class,Medium
CA-2014-135167,SC-208004,1,2014-06-16,2014-06-21,Standard Class,Medium
CA-2014-138149,WB-218504,1,2014-06-30,2014-07-01,First Class,High
CA-2014-102974,DP-131054,1,2014-09-20,2014-09-25,Standard Class,Medium
US-2014-141509,SC-205754,1,2014-09-30,2014-10-02,First Class,Critical
CA-2014-112431,RW-196904,1,2014-10-13,2014-10-15,Second Class,High
CA-2014-100013,ZC-219104,1,2014-11-07,2014-11-12,Standard Class,Medium
CA-2014-124261,JE-157154,1,2014-11-15,2014-11-20,Standard Class,Medium
CA-2014-102407,AT-104354,1,2014-12-10,2014-12-14,Second Class,Medium
CA-2014-163405,BN-115154,1,2014-12-22,2014-12-26,Standard Class,High
CA-2011-120838,PO-188654,1,2011-03-23,2011-03-26,Second Class,High
US-2011-120740,PS-189704,1,2011-04-15,2011-04-15,Same Day,Critical
CA-2011-169642,BB-109904,1,2011-07-27,2011-07-30,Second Class,Medium
CA-2011-101931,TS-213704,1,2011-10-28,2011-10-31,First Class,High
CA-2011-127558,SS-204104,1,2011-11-15,2011-11-18,First Class,Medium
CA-2011-119144,JD-161504,1,2011-11-16,2011-11-18,First Class,Critical
US-2011-157385,SC-200954,1,2011-11-23,2011-11-25,First Class,Critical
CA-2011-150203,JB-159254,1,2011-12-05,2011-12-07,First Class,High
CA-2011-106726,RS-197654,1,2011-12-06,2011-12-08,First Class,Critical
CA-2011-162992,BP-110954,1,2011-12-19,2011-12-21,First Class,Medium
CA-2011-120243,AT-104354,1,2011-12-27,2011-12-30,Second Class,High
CA-2012-149972,CD-127904,1,2012-09-21,2012-09-23,First Class,High
CA-2012-168760,MM-182804,1,2012-09-22,2012-09-26,Second Class,High
US-2012-119312,CS-124004,1,2012-10-02,2012-10-07,Second Class,Medium
CA-2012-152527,CM-121904,1,2012-10-17,2012-10-17,Same Day,Critical
CA-2012-118871,HM-148604,1,2012-12-04,2012-12-09,Second Class,Medium
CA-2012-110870,KD-162704,1,2012-12-12,2012-12-15,First Class,High
CA-2012-125423,MC-175754,1,2012-12-13,2012-12-15,Second Class,Medium
CA-2013-125206,LR-169154,1,2013-01-03,2013-01-05,First Class,High
CA-2013-139010,MC-176354,1,2013-02-21,2013-02-26,Second Class,Medium
CA-2013-130638,SC-200954,1,2013-05-17,2013-05-20,Second Class,Medium
CA-2013-138688,DV-130454,1,2013-06-13,2013-06-17,Second Class,High
CA-2013-111115,LB-167354,1,2013-07-26,2013-07-28,Second Class,High
CA-2013-114972,PF-192254,1,2013-11-04,2013-11-07,First Class,Critical
CA-2013-161669,EM-140954,1,2013-11-08,2013-11-10,First Class,High
US-2013-111528,JP-161354,1,2013-12-31,2013-12-31,Same Day,Medium
CA-2014-164707,CV-128054,1,2014-02-19,2014-02-22,Second Class,High
CA-2014-122007,JK-153254,1,2014-03-19,2014-03-21,Second Class,Medium
CA-2014-108539,SC-207254,1,2014-03-22,2014-03-24,Second Class,High
CA-2014-132178,DB-129703,1,2014-05-04,2014-05-09,Second Class,Medium
CA-2014-140963,MT-180704,1,2014-06-11,2014-06-14,First Class,High
CA-2014-141481,ZD-219254,1,2014-06-12,2014-06-15,First Class,High
US-2014-143175,GA-145154,1,2014-08-04,2014-08-07,Second Class,Medium
CA-2014-169327,MH-172904,1,2014-09-03,2014-09-05,Second Class,High
US-2014-157224,JB-160004,1,2014-09-15,2014-09-19,Second Class,Medium
CA-2014-165155,BM-115754,1,2014-09-22,2014-09-24,First Class,Critical
CA-2011-114125,GH-144104,1,2011-07-09,2011-07-13,Standard Class,High
CA-2011-110184,BF-111704,1,2011-07-12,2011-07-16,Standard Class,High
US-2012-120502,BT-113954,1,2012-04-13,2012-04-19,Standard Class,Low
CA-2012-115420,LS-169454,1,2012-04-25,2012-05-02,Standard Class,Low
CA-2012-165162,HG-150254,1,2012-05-14,2012-05-21,Standard Class,Low
CA-2012-149846,SB-201854,1,2012-05-22,2012-05-26,Standard Class,High
CA-2012-132906,CC-121454,1,2012-09-10,2012-09-14,Standard Class,High
CA-2012-100573,AM-107054,1,2012-09-25,2012-10-01,Standard Class,Low
CA-2012-129532,YS-218804,1,2012-12-08,2012-12-12,Standard Class,High
CA-2012-148376,AG-109004,1,2012-12-27,2012-12-31,Standard Class,High
CA-2013-138282,AH-106904,1,2013-05-20,2013-05-24,Standard Class,High
CA-2013-130162,JH-159104,1,2013-10-29,2013-11-02,Standard Class,High
CA-2013-166226,TC-215354,1,2013-11-19,2013-11-23,Standard Class,High
CA-2014-145807,SB-201704,1,2014-02-10,2014-02-14,Standard Class,High
CA-2014-129294,KD-166154,1,2014-03-17,2014-03-22,Standard Class,High
US-2014-160143,HG-149654,1,2014-04-01,2014-04-08,Standard Class,Low
CA-2014-164959,KN-163904,1,2014-07-12,2014-07-16,Standard Class,High
CA-2014-141929,RA-192854,1,2014-09-05,2014-09-09,Standard Class,High
CA-2014-100825,KD-164954,1,2014-09-10,2014-09-15,Standard Class,High
CA-2014-105914,PV-189854,1,2014-10-03,2014-10-09,Standard Class,Low
CA-2011-112291,KE-164204,1,2011-04-03,2011-04-08,Standard Class,Medium
CA-2011-133704,MA-179954,1,2011-09-20,2011-09-26,Standard Class,Medium
US-2011-167738,JC-161054,1,2011-12-24,2011-12-29,Standard Class,Medium
US-2011-138247,BF-111704,1,2011-12-24,2011-12-29,Standard Class,Medium
CA-2012-111234,AB-106004,1,2012-02-18,2012-02-22,Standard Class,Medium
CA-2012-162369,TT-212654,1,2012-08-15,2012-08-19,Standard Class,Medium
US-2012-139759,NL-183104,1,2012-08-25,2012-08-30,Standard Class,Medium
CA-2012-121188,CB-120254,1,2012-08-28,2012-09-04,Standard Class,Medium
CA-2012-103835,SC-204404,1,2012-09-24,2012-09-28,Standard Class,Medium
CA-2012-129546,RP-198554,1,2012-09-28,2012-10-05,Standard Class,Medium
CA-2012-160171,RM-196754,1,2012-10-19,2012-10-24,Standard Class,Medium
CA-2012-149566,GB-145304,1,2012-12-05,2012-12-10,Standard Class,Medium
CA-2012-158456,KT-164654,1,2012-12-24,2012-12-29,Standard Class,Medium
CA-2013-101189,JB-154004,1,2013-02-04,2013-02-09,Standard Class,Medium
US-2013-143280,TZ-215804,1,2013-02-22,2013-02-26,Standard Class,Medium
CA-2013-137729,BF-110054,1,2013-05-06,2013-05-10,Standard Class,Medium
CA-2013-118913,AS-102404,1,2013-06-26,2013-06-30,Standard Class,Medium
CA-2013-101343,RA-198854,1,2013-07-18,2013-07-23,Standard Class,Medium
CA-2013-140046,KM-166604,1,2013-07-29,2013-08-04,Standard Class,Medium
CA-2013-107328,CA-120554,1,2013-08-09,2013-08-16,Standard Class,Medium
CA-2013-100944,EH-137654,1,2013-09-25,2013-09-29,Standard Class,Medium
CA-2013-144218,JD-158954,1,2013-11-01,2013-11-05,Standard Class,Medium
CA-2013-145492,MC-176054,1,2013-11-21,2013-11-28,Standard Class,Medium
CA-2013-161025,GM-144404,1,2013-12-04,2013-12-10,Standard Class,Medium
CA-2014-161333,JL-158354,1,2014-02-03,2014-02-08,Standard Class,Medium
CA-2014-140515,GZ-145454,1,2014-03-20,2014-03-25,Standard Class,Medium
CA-2014-139437,RD-195854,1,2014-07-04,2014-07-09,Standard Class,Medium
CA-2014-106824,AT-107354,1,2014-07-08,2014-07-12,Standard Class,Medium
CA-2014-162012,KB-162404,1,2014-07-12,2014-07-19,Standard Class,Medium
CA-2014-117261,TH-212354,1,2014-09-05,2014-09-11,Standard Class,Medium
US-2014-115609,CS-125054,1,2014-11-03,2014-11-08,Standard Class,Medium
CA-2014-126242,MC-181004,1,2014-11-20,2014-11-25,Standard Class,Medium
CA-2014-121398,FH-143654,1,2014-12-26,2014-12-30,Standard Class,Medium
CA-2011-157147,BD-116054,2,2011-01-14,2011-01-19,Standard Class,High
CA-2011-128237,CA-122654,2,2011-03-25,2011-03-30,Standard Class,Medium
CA-2011-141838,DK-128354,2,2011-03-26,2011-03-31,Second Class,High
CA-2011-128055,AA-103154,2,2011-03-31,2011-04-05,Standard Class,Medium
CA-2011-105172,PK-189104,2,2011-04-04,2011-04-09,Standard Class,High
CA-2011-133851,CM-124454,2,2011-06-09,2011-06-16,Standard Class,Low
CA-2011-113271,DS-130304,2,2011-07-09,2011-07-14,Standard Class,Medium
CA-2011-116932,ME-180104,2,2011-07-21,2011-07-25,Standard Class,Medium
CA-2011-117464,NP-183254,2,2011-07-22,2011-07-24,Second Class,High
CA-2011-145254,NC-185354,2,2011-07-23,2011-07-27,Standard Class,High
CA-2011-143917,KL-166454,2,2011-07-25,2011-07-27,Second Class,High
CA-2011-150490,SS-205904,2,2011-08-05,2011-08-11,Standard Class,Medium
US-2011-164406,BD-116054,2,2011-08-15,2011-08-19,Standard Class,High
CA-2011-143336,ZD-219254,2,2011-08-27,2011-09-01,Second Class,High
CA-2011-130449,VP-217604,2,2011-09-06,2011-09-09,First Class,Medium
CA-2011-168592,DP-133904,2,2011-09-08,2011-09-14,Standard Class,Medium
CA-2011-159849,JK-156404,2,2011-09-19,2011-09-19,Same Day,High
CA-2011-156433,ES-140204,2,2011-09-20,2011-09-26,Standard Class,Medium
CA-2011-153969,HF-149954,2,2011-09-21,2011-09-25,Standard Class,High
CA-2011-123344,JD-160604,2,2011-09-24,2011-09-29,Standard Class,Medium
CA-2011-138240,SJ-205004,2,2011-10-09,2011-10-14,Standard Class,Medium
CA-2011-139451,DN-136904,2,2011-10-12,2011-10-16,Standard Class,Medium
CA-2011-155264,RP-192704,2,2011-10-19,2011-10-22,Second Class,Medium
CA-2011-115889,SH-203954,2,2011-11-02,2011-11-06,Standard Class,High
CA-2011-144666,JP-155204,2,2011-11-09,2011-11-11,Second Class,Critical
CA-2011-128622,SC-202604,2,2011-11-15,2011-11-17,Second Class,Critical
CA-2011-140662,TS-212054,2,2011-11-17,2011-11-19,First Class,High
CA-2011-105249,DH-136754,2,2011-11-28,2011-11-28,Same Day,Medium
CA-2011-159800,SG-204704,2,2011-11-28,2011-12-01,First Class,High
CA-2011-153983,AH-102104,2,2011-11-29,2011-12-06,Standard Class,Medium
CA-2011-110786,AJ-107954,2,2011-12-29,2012-01-02,Standard Class,High
CA-2012-158701,JL-151754,2,2012-01-05,2012-01-10,Standard Class,Medium
CA-2012-155306,GA-145154,2,2012-04-17,2012-04-21,Standard Class,High
CA-2012-103716,KB-165854,2,2012-04-30,2012-05-06,Standard Class,Medium
CA-2012-104486,PO-188504,2,2012-05-01,2012-05-06,Standard Class,High
CA-2012-150770,LC-168704,2,2012-05-03,2012-05-06,First Class,Critical
CA-2012-136735,HA-149204,2,2012-07-26,2012-08-02,Standard Class,Low
CA-2012-130456,DS-131804,2,2012-08-21,2012-08-26,Standard Class,Medium
CA-2012-130204,DB-131204,2,2012-09-03,2012-09-09,Standard Class,Low
CA-2012-167255,RH-195104,2,2012-09-27,2012-09-29,Second Class,High
CA-2012-169201,HG-149654,2,2012-09-28,2012-10-01,First Class,Critical
CA-2012-121391,AA-103154,2,2012-10-04,2012-10-07,First Class,Critical
CA-2012-152891,TB-216254,2,2012-10-25,2012-10-30,Standard Class,Medium
CA-2012-110289,NB-186554,2,2012-10-29,2012-11-02,Standard Class,High
CA-2012-145485,JM-161954,2,2012-11-05,2012-11-05,Same Day,High
CA-2012-164497,AJ-109454,2,2012-11-28,2012-11-30,First Class,Medium
CA-2012-168634,AF-108704,2,2012-12-06,2012-12-11,Standard Class,Medium
CA-2012-127502,MT-178154,2,2012-12-10,2012-12-14,Standard Class,Medium
CA-2012-130113,AH-100304,2,2012-12-27,2012-12-31,Standard Class,Medium
CA-2013-153661,SC-207254,2,2013-01-30,2013-01-31,First Class,Medium
CA-2013-120005,TS-211604,2,2013-03-04,2013-03-04,Same Day,High
CA-2013-127138,DK-132254,2,2013-03-13,2013-03-16,Second Class,Medium
CA-2013-136301,EH-137654,2,2013-03-14,2013-03-16,Second Class,Critical
CA-2013-123358,BT-116804,2,2013-04-11,2013-04-18,Standard Class,Medium
CA-2013-152800,SP-209204,2,2013-04-14,2013-04-16,First Class,High
CA-2013-122728,EB-139304,2,2013-05-19,2013-05-25,Standard Class,Medium
CA-2013-107216,PV-189854,2,2013-06-15,2013-06-18,First Class,Medium
CA-2013-140382,RD-199004,2,2013-06-24,2013-06-26,Second Class,High
CA-2013-147137,AA-106454,2,2013-07-05,2013-07-07,First Class,High
CA-2013-109953,RB-193604,2,2013-07-15,2013-07-19,Standard Class,Medium
CA-2013-144855,DL-134954,2,2013-07-23,2013-07-25,Second Class,Critical
CA-2013-149335,BC-111254,2,2013-07-26,2013-07-26,Same Day,Critical
CA-2013-112585,RW-196304,2,2013-07-31,2013-08-03,First Class,Medium
CA-2013-150343,PK-190754,2,2013-08-17,2013-08-21,Standard Class,High
CA-2013-120859,CV-128054,2,2013-09-02,2013-09-05,First Class,Medium
CA-2013-113096,SZ-200354,2,2013-09-03,2013-09-05,First Class,High
US-2013-114888,CC-124304,2,2013-09-20,2013-09-25,Second Class,Medium
CA-2013-100244,GM-146954,2,2013-09-21,2013-09-25,Standard Class,High
CA-2013-101385,JW-160754,2,2013-09-26,2013-10-02,Standard Class,Medium
CA-2013-156811,BP-110954,2,2013-10-28,2013-11-03,Standard Class,Medium
CA-2013-105494,PC-187454,2,2013-11-11,2013-11-13,First Class,High
CA-2013-152940,RO-197804,2,2013-11-11,2013-11-14,First Class,Medium
CA-2013-149482,RR-193154,2,2013-11-15,2013-11-20,Standard Class,High
CA-2013-118500,HJ-148754,2,2013-11-18,2013-11-19,First Class,High
US-2013-108455,MK-181604,2,2013-12-03,2013-12-09,Standard Class,Medium
CA-2013-115224,DB-136154,2,2013-12-09,2013-12-12,Second Class,High
CA-2013-131289,SP-206204,2,2013-12-09,2013-12-15,Standard Class,Medium
CA-2014-111738,CM-123854,2,2014-01-04,2014-01-08,Standard Class,Medium
CA-2014-108000,LS-169454,2,2014-01-13,2014-01-17,Standard Class,Medium
CA-2014-144589,TM-210104,2,2014-01-21,2014-01-26,Standard Class,Medium
CA-2014-150469,CJ-120104,2,2014-01-27,2014-01-31,Standard Class,Medium
CA-2014-139304,VG-217904,2,2014-01-30,2014-02-03,Standard Class,High
CA-2014-164329,MM-179204,2,2014-01-31,2014-01-31,Same Day,Medium
CA-2014-112725,EH-141254,2,2014-01-31,2014-02-07,Standard Class,Low
CA-2014-125101,SH-199754,2,2014-03-07,2014-03-11,Second Class,High
CA-2014-167640,FC-142454,2,2014-03-07,2014-03-11,Standard Class,Medium
CA-2014-116288,BS-113804,2,2014-03-13,2014-03-18,Standard Class,High
CA-2014-147942,MS-173654,2,2014-04-02,2014-04-06,Standard Class,High
US-2014-138086,JO-155504,2,2014-04-17,2014-04-21,Standard Class,High
CA-2014-137876,DJ-135104,2,2014-05-01,2014-05-06,Standard Class,High
CA-2014-163209,MK-181604,2,2014-05-04,2014-05-08,Standard Class,Medium
US-2014-141943,DK-129854,2,2014-05-06,2014-05-10,Standard Class,High
US-2014-104451,MM-180554,2,2014-05-09,2014-05-13,Second Class,High
CA-2014-117632,CS-121754,2,2014-05-13,2014-05-19,Standard Class,Medium
CA-2014-100748,RB-197954,2,2014-05-14,2014-05-21,Standard Class,Medium
CA-2014-113530,BC-111254,2,2014-05-20,2014-05-22,Second Class,Medium
CA-2014-130106,VF-217154,2,2014-05-23,2014-05-27,Standard Class,High
US-2014-131849,GH-144104,2,2014-06-07,2014-06-11,Standard Class,High
CA-2014-159107,KT-164804,2,2014-06-25,2014-06-27,Second Class,Critical
CA-2014-130841,MH-176204,2,2014-07-29,2014-08-02,Standard Class,High
CA-2014-161102,EC-140504,2,2014-08-01,2014-08-04,First Class,High
CA-2014-168942,EM-139604,2,2014-08-02,2014-08-06,Second Class,Medium
CA-2014-168396,BD-117254,2,2014-08-04,2014-08-09,Second Class,Medium
US-2014-103828,JK-153704,2,2014-08-14,2014-08-14,Same Day,High
CA-2014-169264,NP-187004,2,2014-08-15,2014-08-17,Second Class,High
CA-2014-119011,LR-170354,2,2014-08-21,2014-08-26,Standard Class,High
CA-2014-132619,MS-177704,2,2014-09-01,2014-09-06,Standard Class,Medium
CA-2014-110380,PF-192254,2,2014-09-03,2014-09-08,Standard Class,High
CA-2014-161823,AG-103004,2,2014-09-04,2014-09-09,Standard Class,High
